* Data was revised on 10/4/23 to reflect the removal of 40 students with erroneous enrollments.,,,,,,,,,,,,,,,,,,,,,,,,
 School Information ,,,,,,,White,,Black/African American,,Asian/ Pacific Islander (Retired),,"Native American/
 Alaskan",,Latinx,,Multiracial,,Asian,,"Hawaiian/
 Pacific Islander",,"Not 
 Available",
400083, ACERO - PAZ , Charter , Charter , Traditional , SOUTH LAWNDALE , 125 , 1 ,0.8%, 2 ,1.6%, - ,0.0%, - ,0.0%, 122 ,97.6%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400114, ACERO - SANTIAGO , Charter , Charter , Traditional , WEST TOWN , 221 , 3 ,1.4%, 18 ,8.1%, - ,0.0%, 1 ,0.5%, 195 ,88.2%, - ,0.0%, 2 ,0.9%, - ,0.0%, 2 ,0.9%
400149, ACERO - SOTO HS , Charter , Charter , Traditional , GAGE PARK , 565 , 3 ,0.5%, 1 ,0.2%, - ,0.0%, 1 ,0.2%, 560 ,99.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400084, ACERO - TAMAYO , Charter , Charter , Traditional , GAGE PARK , 269 , - ,0.0%, 1 ,0.4%, - ,0.0%, 1 ,0.4%, 267 ,99.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400080, ACERO - TORRES , Charter , Charter , Traditional , ARCHER HEIGHTS , 544 , 3 ,0.6%, 4 ,0.7%, - ,0.0%, - ,0.0%, 536 ,98.5%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
400079, ACERO - ZIZUMBO , Charter , Charter , Traditional , ARCHER HEIGHTS , 531 , 14 ,2.6%, 2 ,0.4%, - ,0.0%, - ,0.0%, 512 ,96.4%, - ,0.0%, 3 ,0.6%, - ,0.0%, - ,0.0%
609772, ADDAMS , Network 13 , District , Traditional , EAST SIDE , 531 , 17 ,3.2%, 15 ,2.8%, - ,0.0%, - ,0.0%, 498 ,93.8%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
400060, AHS - PASSAGES , Charter , Charter , Traditional , EDGEWATER , 353 , 28 ,7.9%, 137 ,38.8%, - ,0.0%, - ,0.0%, 81 ,22.9%, 14 ,4.0%, 93 ,26.3%, - ,0.0%, - ,0.0%
610513, AIR FORCE HS , Network 16 , District , Traditional , ARMOUR SQUARE , 118 , 3 ,2.5%, 68 ,57.6%, - ,0.0%, - ,0.0%, 44 ,37.3%, 2 ,1.7%, - ,0.0%, 1 ,0.8%, - ,0.0%
610212, ALBANY PARK , Network 1 , District , Traditional , ALBANY PARK , 228 , 9 ,3.9%, 6 ,2.6%, - ,0.0%, 5 ,2.2%, 192 ,84.2%, 4 ,1.8%, 12 ,5.3%, - ,0.0%, - ,0.0%
609774, ALCOTT ES , Network 4 , District , Traditional , LINCOLN PARK , 572 , 315 ,55.1%, 37 ,6.5%, - ,0.0%, 1 ,0.2%, 92 ,16.1%, 48 ,8.4%, 78 ,13.6%, 1 ,0.2%, - ,0.0%
610524, ALCOTT HS , Network 15 , District , Traditional , NORTH CENTER , 371 , 61 ,16.4%, 63 ,17.0%, - ,0.0%, 3 ,0.8%, 235 ,63.3%, 5 ,1.3%, 3 ,0.8%, 1 ,0.3%, - ,0.0%
609848, ALDRIDGE , Network 13 , District , Traditional , RIVERDALE , 242 , - ,0.0%, 203 ,83.9%, - ,0.0%, - ,0.0%, 39 ,16.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609695, AMUNDSEN HS , Network 14 , District , Traditional , LINCOLN SQUARE ," 1,503 ", 627 ,41.7%, 106 ,7.1%, - ,0.0%, 5 ,0.3%, 593 ,39.5%, 68 ,4.5%, 99 ,6.6%, 5 ,0.3%, - ,0.0%
609951, ARIEL , Network 9 , District , Traditional , KENWOOD , 354 , 1 ,0.3%, 340 ,96.0%, - ,0.0%, - ,0.0%, 9 ,2.5%, 4 ,1.1%, - ,0.0%, - ,0.0%, - ,0.0%
609777, ARMOUR , ISP , District , Traditional , BRIDGEPORT , 241 , 19 ,7.9%, 24 ,10.0%, - ,0.0%, 1 ,0.4%, 174 ,72.2%, 8 ,3.3%, 15 ,6.2%, - ,0.0%, - ,0.0%
609779, ARMSTRONG G , ISP , District , Traditional , WEST RIDGE ," 1,253 ", 116 ,9.3%, 363 ,29.0%, - ,0.0%, 5 ,0.4%, 452 ,36.1%, 23 ,1.8%, 294 ,23.5%, - ,0.0%, - ,0.0%
400181, ART IN MOTION , Charter , Charter , Traditional , SOUTH SHORE , 543 , 1 ,0.2%, 509 ,93.7%, - ,0.0%, - ,0.0%, 16 ,2.9%, 4 ,0.7%, - ,0.0%, - ,0.0%, 13 ,2.4%
610287, ASHBURN , Network 10 , District , Traditional , ASHBURN , 329 , 1 ,0.3%, 259 ,78.7%, - ,0.0%, 1 ,0.3%, 66 ,20.1%, 1 ,0.3%, 1 ,0.3%, - ,0.0%, - ,0.0%
610268, ASHE , Network 12 , District , Traditional , CHATHAM , 360 , - ,0.0%, 346 ,96.1%, - ,0.0%, - ,0.0%, 11 ,3.1%, 1 ,0.3%, 1 ,0.3%, 1 ,0.3%, - ,0.0%
400172, ASPIRA - BUSINESS & FINANCE HS , Charter , Charter , Traditional , AVONDALE , 492 , 8 ,1.6%, 21 ,4.3%, - ,0.0%, 2 ,0.4%, 459 ,93.3%, 2 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
400013, ASPIRA - EARLY COLLEGE HS , Charter , Charter , Traditional , AVONDALE , 257 , 3 ,1.2%, 8 ,3.1%, - ,0.0%, - ,0.0%, 245 ,95.3%, - ,0.0%, 1 ,0.4%, - ,0.0%, - ,0.0%
400017, ASPIRA - HAUGAN , Charter , Charter , Traditional , ALBANY PARK , 82 , - ,0.0%, 4 ,4.9%, - ,0.0%, 1 ,1.2%, 76 ,92.7%, 1 ,1.2%, - ,0.0%, - ,0.0%, - ,0.0%
609782, AUDUBON , Network 4 , District , Traditional , NORTH CENTER , 608 , 409 ,67.3%, 6 ,1.0%, - ,0.0%, 1 ,0.2%, 98 ,16.1%, 53 ,8.7%, 34 ,5.6%, - ,0.0%, 7 ,1.2%
610518, AUSTIN CCA HS , Network 15 , District , Traditional , AUSTIN , 172 , - ,0.0%, 156 ,90.7%, - ,0.0%, - ,0.0%, 16 ,9.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609786, AVALON PARK , Network 12 , District , Traditional , AVALON PARK , 189 , - ,0.0%, 186 ,98.4%, - ,0.0%, 1 ,0.5%, 2 ,1.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610325, AVONDALE-LOGANDALE , Network 4 , District , Traditional , AVONDALE , 492 , 6 ,1.2%, 50 ,10.2%, - ,0.0%, - ,0.0%, 425 ,86.4%, 7 ,1.4%, 2 ,0.4%, 2 ,0.4%, - ,0.0%
610544, AZUELA , ISP , District , Traditional , WEST LAWN , 697 , 7 ,1.0%, 4 ,0.6%, - ,0.0%, 3 ,0.4%, 680 ,97.6%, 3 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610563, BACK OF THE YARDS HS , ISP , District , Traditional , NEW CITY ," 1,001 ", 9 ,0.9%, 15 ,1.5%, - ,0.0%, 3 ,0.3%, 960 ,95.9%, - ,0.0%, 13 ,1.3%, - ,0.0%, 1 ,0.1%
609788, BARNARD , Network 10 , District , Traditional , BEVERLY , 245 , 8 ,3.3%, 222 ,90.6%, - ,0.0%, - ,0.0%, 10 ,4.1%, 4 ,1.6%, 1 ,0.4%, - ,0.0%, - ,0.0%
609789, BARRY , Network 4 , District , Traditional , HERMOSA , 475 , 6 ,1.3%, 22 ,4.6%, - ,0.0%, 3 ,0.6%, 442 ,93.1%, - ,0.0%, 2 ,0.4%, - ,0.0%, - ,0.0%
609790, BARTON , Network 11 , District , Traditional , AUBURN GRESHAM , 395 , 1 ,0.3%, 343 ,86.8%, - ,0.0%, - ,0.0%, 49 ,12.4%, 2 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
609791, BASS , Network 11 , District , Traditional , ENGLEWOOD , 289 , 1 ,0.3%, 277 ,95.8%, - ,0.0%, 1 ,0.3%, 10 ,3.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609792, BATEMAN , Network 1 , District , Traditional , IRVING PARK , 901 , 185 ,20.5%, 27 ,3.0%, - ,0.0%, 4 ,0.4%, 611 ,67.8%, 33 ,3.7%, 39 ,4.3%, 2 ,0.2%, - ,0.0%
610083, BEARD , Network 1 , District , Specialty , NORWOOD PARK , 348 , 112 ,32.2%, 24 ,6.9%, - ,0.0%, 2 ,0.6%, 154 ,44.3%, 13 ,3.7%, 41 ,11.8%, 1 ,0.3%, 1 ,0.3%
610246, BEASLEY , Network 9 , District , Traditional , WASHINGTON PARK ," 1,018 ", - ,0.0%, 973 ,95.6%, - ,0.0%, 2 ,0.2%, 16 ,1.6%, 8 ,0.8%, 1 ,0.1%, 1 ,0.1%, 17 ,1.7%
609796, BEAUBIEN , Network 1 , District , Traditional , JEFFERSON PARK ," 1,021 ", 361 ,35.4%, 32 ,3.1%, - ,0.0%, 1 ,0.1%, 380 ,37.2%, 62 ,6.1%, 175 ,17.1%, 5 ,0.5%, 5 ,0.5%
610237, BEETHOVEN , Network 9 , District , Traditional , GRAND BOULEVARD , 336 , 1 ,0.3%, 282 ,83.9%, - ,0.0%, 2 ,0.6%, 51 ,15.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609797, BEIDLER , Network 5 , District , Traditional , EAST GARFIELD PARK , 256 , 1 ,0.4%, 242 ,94.5%, - ,0.0%, - ,0.0%, 13 ,5.1%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609798, BELDING , Network 1 , District , Traditional , IRVING PARK , 553 , 286 ,51.7%, 25 ,4.5%, - ,0.0%, 3 ,0.5%, 197 ,35.6%, 19 ,3.4%, 20 ,3.6%, 3 ,0.5%, - ,0.0%
609799, BELL , Network 4 , District , Traditional , NORTH CENTER , 850 , 480 ,56.5%, 14 ,1.6%, - ,0.0%, 1 ,0.1%, 147 ,17.3%, 102 ,12.0%, 106 ,12.5%, - ,0.0%, - ,0.0%
609922, BELMONT-CRAGIN , Network 3 , District , Traditional , BELMONT CRAGIN , 525 , 6 ,1.1%, 9 ,1.7%, - ,0.0%, 2 ,0.4%, 502 ,95.6%, 1 ,0.2%, 2 ,0.4%, - ,0.0%, 3 ,0.6%
609800, BENNETT , Network 13 , District , Traditional , ROSELAND , 263 , - ,0.0%, 255 ,97.0%, - ,0.0%, - ,0.0%, 4 ,1.5%, 3 ,1.1%, 1 ,0.4%, - ,0.0%, - ,0.0%
610350, BLACK , Network 12 , District , Traditional , CALUMET HEIGHTS , 356 , - ,0.0%, 346 ,97.2%, - ,0.0%, - ,0.0%, 8 ,2.2%, 2 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
609803, BLAINE , Network 4 , District , Traditional , LAKE VIEW , 628 , 423 ,67.4%, 16 ,2.5%, - ,0.0%, - ,0.0%, 101 ,16.1%, 57 ,9.1%, 30 ,4.8%, 1 ,0.2%, - ,0.0%
610087, BLAIR , Network 10 , District , Specialty , CLEARING , 256 , 40 ,15.6%, 12 ,4.7%, - ,0.0%, - ,0.0%, 202 ,78.9%, 1 ,0.4%, 1 ,0.4%, - ,0.0%, - ,0.0%
609698, BOGAN HS , Network 16 , District , Traditional , ASHBURN , 574 , 7 ,1.2%, 302 ,52.6%, - ,0.0%, 2 ,0.3%, 259 ,45.1%, 1 ,0.2%, - ,0.0%, 3 ,0.5%, - ,0.0%
610238, BOND , Network 11 , District , Traditional , ENGLEWOOD , 260 , - ,0.0%, 238 ,91.5%, - ,0.0%, 1 ,0.4%, 19 ,7.3%, 2 ,0.8%, - ,0.0%, - ,0.0%, - ,0.0%
609815, BOUCHET , Network 12 , District , Traditional , SOUTH SHORE , 646 , 3 ,0.5%, 608 ,94.1%, - ,0.0%, 2 ,0.3%, 26 ,4.0%, 1 ,0.2%, - ,0.0%, - ,0.0%, 6 ,0.9%
610323, BOWEN HS , Network 17 , District , Traditional , SOUTH CHICAGO , 172 , 1 ,0.6%, 131 ,76.2%, - ,0.0%, - ,0.0%, 40 ,23.3%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609806, BRADWELL , Network 12 , District , Traditional , SOUTH SHORE , 412 , - ,0.0%, 379 ,92.0%, - ,0.0%, - ,0.0%, 24 ,5.8%, 8 ,1.9%, - ,0.0%, - ,0.0%, 1 ,0.2%
610242, BRENNEMANN , Network 2 , District , Traditional , UPTOWN , 474 , 28 ,5.9%, 220 ,46.4%, - ,0.0%, 5 ,1.1%, 166 ,35.0%, 13 ,2.7%, 17 ,3.6%, - ,0.0%, 25 ,5.3%
609809, BRENTANO , Network 4 , District , Traditional , LOGAN SQUARE , 736 , 278 ,37.8%, 34 ,4.6%, - ,0.0%, 1 ,0.1%, 345 ,46.9%, 60 ,8.2%, 13 ,1.8%, 2 ,0.3%, 3 ,0.4%
609810, BRIDGE , Network 1 , District , Traditional , DUNNING ," 1,105 ", 362 ,32.8%, 23 ,2.1%, - ,0.0%, 4 ,0.4%, 641 ,58.0%, 21 ,1.9%, 50 ,4.5%, 4 ,0.4%, - ,0.0%
609811, BRIGHT , Network 13 , District , Traditional , SOUTH DEERING , 201 , 3 ,1.5%, 130 ,64.7%, - ,0.0%, - ,0.0%, 68 ,33.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610317, BRIGHTON PARK , Network 8 , District , Traditional , BRIGHTON PARK , 285 , 9 ,3.2%, 4 ,1.4%, - ,0.0%, 1 ,0.4%, 267 ,93.7%, - ,0.0%, 4 ,1.4%, - ,0.0%, - ,0.0%
610590, BRONZEVILLE CLASSICAL , Network 9 , District , Traditional , GRAND BOULEVARD , 423 , 23 ,5.4%, 314 ,74.2%, - ,0.0%, 1 ,0.2%, 22 ,5.2%, 26 ,6.1%, 37 ,8.7%, - ,0.0%, - ,0.0%
610381, BRONZEVILLE HS , Network 17 , District , Traditional , GRAND BOULEVARD , 104 , 1 ,1.0%, 96 ,92.3%, - ,0.0%, - ,0.0%, 6 ,5.8%, - ,0.0%, - ,0.0%, 1 ,1.0%, - ,0.0%
609726, BROOKS HS , ISP , District , Traditional , ROSELAND , 974 , 13 ,1.3%, 765 ,78.5%, - ,0.0%, 1 ,0.1%, 183 ,18.8%, 7 ,0.7%, 3 ,0.3%, 1 ,0.1%, 1 ,0.1%
610091, BROWN R , Network 13 , District , Traditional , WEST PULLMAN , 289 , - ,0.0%, 287 ,99.3%, - ,0.0%, - ,0.0%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.3%
609812, BROWN W , Network 6 , District , Traditional , NEAR WEST SIDE , 271 , 2 ,0.7%, 252 ,93.0%, - ,0.0%, - ,0.0%, 12 ,4.4%, 1 ,0.4%, 4 ,1.5%, - ,0.0%, - ,0.0%
609813, BROWNELL , Network 12 , District , Traditional , GREATER GRAND CROSSING , 130 , 1 ,0.8%, 125 ,96.2%, - ,0.0%, - ,0.0%, 1 ,0.8%, 2 ,1.5%, - ,0.0%, - ,0.0%, 1 ,0.8%
609830, BRUNSON , Network 3 , District , Traditional , AUSTIN , 436 , 5 ,1.1%, 333 ,76.4%, - ,0.0%, - ,0.0%, 91 ,20.9%, 2 ,0.5%, - ,0.0%, 1 ,0.2%, 4 ,0.9%
609817, BUDLONG , ISP , District , Traditional , LINCOLN SQUARE , 728 , 250 ,34.3%, 38 ,5.2%, - ,0.0%, 4 ,0.5%, 279 ,38.3%, 29 ,4.0%, 126 ,17.3%, - ,0.0%, 2 ,0.3%
609818, BURBANK , Network 3 , District , Traditional , BELMONT CRAGIN , 697 , 10 ,1.4%, 27 ,3.9%, - ,0.0%, 4 ,0.6%, 650 ,93.3%, 1 ,0.1%, 5 ,0.7%, - ,0.0%, - ,0.0%
609819, BURKE , Network 9 , District , Traditional , WASHINGTON PARK , 248 , 5 ,2.0%, 234 ,94.4%, - ,0.0%, - ,0.0%, 7 ,2.8%, 2 ,0.8%, - ,0.0%, - ,0.0%, - ,0.0%
609820, BURLEY , Network 4 , District , Traditional , LAKE VIEW , 496 , 321 ,64.7%, 9 ,1.8%, - ,0.0%, - ,0.0%, 78 ,15.7%, 29 ,5.8%, 59 ,11.9%, - ,0.0%, - ,0.0%
609821, BURNHAM , Network 13 , District , Traditional , SOUTH DEERING , 418 , 1 ,0.2%, 401 ,95.9%, - ,0.0%, - ,0.0%, 15 ,3.6%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
609827, BURNSIDE , Network 12 , District , Traditional , CHATHAM , 287 , - ,0.0%, 281 ,97.9%, - ,0.0%, - ,0.0%, 5 ,1.7%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
609828, BURR , Network 6 , District , Traditional , WEST TOWN , 447 , 181 ,40.5%, 39 ,8.7%, - ,0.0%, 1 ,0.2%, 156 ,34.9%, 50 ,11.2%, 20 ,4.5%, - ,0.0%, - ,0.0%
609829, BURROUGHS , Network 8 , District , Traditional , BRIGHTON PARK , 307 , 11 ,3.6%, 11 ,3.6%, - ,0.0%, - ,0.0%, 279 ,90.9%, - ,0.0%, 6 ,2.0%, - ,0.0%, - ,0.0%
609832, BYRNE , Network 10 , District , Traditional , GARFIELD RIDGE , 580 , 152 ,26.2%, 23 ,4.0%, - ,0.0%, 2 ,0.3%, 399 ,68.8%, 4 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
610353, CALMECA , Network 8 , District , Traditional , BRIGHTON PARK , 626 , 5 ,0.8%, 6 ,1.0%, - ,0.0%, 1 ,0.2%, 608 ,97.1%, - ,0.0%, 4 ,0.6%, - ,0.0%, 2 ,0.3%
609835, CAMERON , Network 5 , District , Traditional , HUMBOLDT PARK , 618 , 2 ,0.3%, 100 ,16.2%, - ,0.0%, 1 ,0.2%, 512 ,82.8%, 2 ,0.3%, - ,0.0%, 1 ,0.2%, - ,0.0%
610539, CAMRAS , ISP , District , Traditional , BELMONT CRAGIN , 721 , 32 ,4.4%, 10 ,1.4%, - ,0.0%, 2 ,0.3%, 659 ,91.4%, 6 ,0.8%, 10 ,1.4%, 2 ,0.3%, - ,0.0%
609836, CANTY , Network 1 , District , Traditional , DUNNING , 806 , 355 ,44.0%, 16 ,2.0%, - ,0.0%, 2 ,0.2%, 399 ,49.5%, 16 ,2.0%, 18 ,2.2%, - ,0.0%, - ,0.0%
610024, CARDENAS , ISP , District , Traditional , SOUTH LAWNDALE , 766 , 9 ,1.2%, 24 ,3.1%, - ,0.0%, - ,0.0%, 731 ,95.4%, 2 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
609837, CARNEGIE , Network 9 , District , Traditional , WOODLAWN , 406 , 4 ,1.0%, 392 ,96.6%, - ,0.0%, - ,0.0%, 6 ,1.5%, 1 ,0.2%, 3 ,0.7%, - ,0.0%, - ,0.0%
609839, CARROLL , Network 10 , District , Traditional , ASHBURN , 408 , 8 ,2.0%, 336 ,82.4%, - ,0.0%, 1 ,0.2%, 60 ,14.7%, 3 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
609842, CARSON , ISP , District , Traditional , GAGE PARK , 748 , 3 ,0.4%, 20 ,2.7%, - ,0.0%, 2 ,0.3%, 720 ,96.3%, 2 ,0.3%, 1 ,0.1%, - ,0.0%, - ,0.0%
609844, CARTER , Network 9 , District , Traditional , WASHINGTON PARK , 280 , - ,0.0%, 267 ,95.4%, - ,0.0%, - ,0.0%, 8 ,2.9%, 4 ,1.4%, 1 ,0.4%, - ,0.0%, - ,0.0%
609845, CARVER G , Network 13 , District , Traditional , RIVERDALE , 467 , - ,0.0%, 463 ,99.1%, - ,0.0%, - ,0.0%, 4 ,0.9%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609760, CARVER MILITARY HS , Network 17 , District , Traditional , RIVERDALE , 410 , 5 ,1.2%, 166 ,40.5%, - ,0.0%, 1 ,0.2%, 236 ,57.6%, 2 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610021, CASALS , Network 5 , District , Traditional , HUMBOLDT PARK , 372 , 10 ,2.7%, 114 ,30.6%, - ,0.0%, 1 ,0.3%, 243 ,65.3%, 2 ,0.5%, 1 ,0.3%, 1 ,0.3%, - ,0.0%
609849, CASSELL , ISP , District , Traditional , MOUNT GREENWOOD , 354 , 232 ,65.5%, 25 ,7.1%, - ,0.0%, 1 ,0.3%, 86 ,24.3%, 8 ,2.3%, 2 ,0.6%, - ,0.0%, - ,0.0%
610599, CATALPA , Network 1 , District , Early Childhood , PORTAGE PARK , 181 , 86 ,47.5%, 3 ,1.7%, - ,0.0%, 1 ,0.6%, 67 ,37.0%, 15 ,8.3%, 9 ,5.0%, - ,0.0%, - ,0.0%
400021, CATALYST - CIRCLE ROCK , Charter , Charter , Traditional , AUSTIN , 504 , 1 ,0.2%, 494 ,98.0%, - ,0.0%, 1 ,0.2%, 7 ,1.4%, - ,0.0%, 1 ,0.2%, - ,0.0%, - ,0.0%
400115, CATALYST - MARIA , Charter , Charter , Traditional , CHICAGO LAWN , 546 , 8 ,1.5%, 273 ,50.0%, - ,0.0%, 2 ,0.4%, 254 ,46.5%, 5 ,0.9%, - ,0.0%, - ,0.0%, 4 ,0.7%
400182, CATALYST MARIA HS , Charter , Charter , Traditional , CHICAGO LAWN , 557 , 3 ,0.5%, 196 ,35.2%, - ,0.0%, 1 ,0.2%, 355 ,63.7%, 2 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610251, CATHER , Network 5 , District , Traditional , EAST GARFIELD PARK , 323 , 1 ,0.3%, 305 ,94.4%, - ,0.0%, 1 ,0.3%, 13 ,4.0%, 3 ,0.9%, - ,0.0%, - ,0.0%, - ,0.0%
609851, CHALMERS , Network 5 , District , Traditional , NORTH LAWNDALE , 224 , 3 ,1.3%, 205 ,91.5%, - ,0.0%, 2 ,0.9%, 13 ,5.8%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
609852, CHAPPELL , Network 2 , District , Traditional , LINCOLN SQUARE , 569 , 261 ,45.9%, 28 ,4.9%, - ,0.0%, 2 ,0.4%, 208 ,36.6%, 41 ,7.2%, 29 ,5.1%, - ,0.0%, - ,0.0%
609853, CHASE , Network 4 , District , Traditional , LOGAN SQUARE , 393 , 71 ,18.1%, 37 ,9.4%, - ,0.0%, - ,0.0%, 257 ,65.4%, 13 ,3.3%, 7 ,1.8%, - ,0.0%, 8 ,2.0%
610148, CHAVEZ , ISP , District , Traditional , NEW CITY , 780 , 1 ,0.1%, 13 ,1.7%, - ,0.0%, 4 ,0.5%, 761 ,97.6%, - ,0.0%, 1 ,0.1%, - ,0.0%, - ,0.0%
400022, CHIARTS HS , Contract , Contract , Traditional , WEST TOWN , 604 , 116 ,19.2%, 215 ,35.6%, - ,0.0%, 3 ,0.5%, 245 ,40.6%, 14 ,2.3%, 10 ,1.7%, 1 ,0.2%, - ,0.0%
610248, CHICAGO ACADEMY ES , Network 1 , District , Traditional , DUNNING , 559 , 93 ,16.6%, 17 ,3.0%, - ,0.0%, 1 ,0.2%, 424 ,75.8%, 12 ,2.1%, 10 ,1.8%, - ,0.0%, 2 ,0.4%
610340, CHICAGO ACADEMY HS , Network 14 , District , Traditional , DUNNING , 561 , 89 ,15.9%, 26 ,4.6%, - ,0.0%, 2 ,0.4%, 428 ,76.3%, 5 ,0.9%, 9 ,1.6%, 2 ,0.4%, - ,0.0%
609753, CHICAGO AGRICULTURE HS , ISP , District , Traditional , MOUNT GREENWOOD , 769 , 182 ,23.7%, 394 ,51.2%, - ,0.0%, 1 ,0.1%, 177 ,23.0%, 9 ,1.2%, 5 ,0.7%, 1 ,0.1%, - ,0.0%
400161, CHICAGO COLLEGIATE , Charter , Charter , Traditional , WEST PULLMAN , 245 , - ,0.0%, 239 ,97.6%, - ,0.0%, - ,0.0%, 6 ,2.4%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400147, CHICAGO EXCEL HS , Options , Contract , Options , MORGAN PARK , 267 , - ,0.0%, 253 ,94.8%, - ,0.0%, 1 ,0.4%, 7 ,2.6%, - ,0.0%, - ,0.0%, - ,0.0%, 6 ,2.2%
400035, CHICAGO MATH & SCIENCE HS , Charter , Charter , Traditional , ROGERS PARK , 617 , 38 ,6.2%, 260 ,42.1%, - ,0.0%, 3 ,0.5%, 242 ,39.2%, 10 ,1.6%, 63 ,10.2%, 1 ,0.2%, - ,0.0%
609754, CHICAGO MILITARY HS , Network 17 , District , Traditional , DOUGLAS , 214 , 3 ,1.4%, 134 ,62.6%, - ,0.0%, 3 ,1.4%, 73 ,34.1%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.5%
